epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2687,1.91333,1.89825,1.54875,0.33132,0.65082,0.45962,0.22639,1.7362,1.98273,1.51555,0.000548258,0.000548258,0.000548258
2,142.479,1.77022,1.31687,1.39692,0.55473,0.5662,0.51439,0.27605,1.56926,1.55777,1.39148,0.00109846,0.00109846,0.00109846
3,213.68,1.69123,1.16635,1.3501,0.65801,0.68855,0.66915,0.37489,1.53685,1.21416,1.3787,0.00164316,0.00164316,0.00164316
4,284.895,1.68147,1.18264,1.38173,0.66612,0.56543,0.63487,0.36395,1.66124,1.37356,1.48617,0.00164225,0.00164225,0.00164225
5,355.884,1.60946,1.07826,1.33323,0.49768,0.73748,0.46061,0.27595,1.48836,10.936,1.34683,0.00163399,0.00163399,0.00163399
6,426.833,1.61069,1.07104,1.30406,0.45614,0.69083,0.44081,0.2616,1.49499,2.83655,1.35878,0.00162574,0.00162574,0.00162574
7,497.807,1.63349,1.06903,1.33718,0.78892,0.72111,0.76422,0.45524,1.40785,1.02367,1.30082,0.00161749,0.00161749,0.00161749
8,569.073,1.52846,0.99047,1.30031,0.80927,0.75915,0.82045,0.49203,1.42938,1.12713,1.30394,0.00160924,0.00160924,0.00160924
9,640.29,1.54157,1.02282,1.27456,0.76208,0.74834,0.78697,0.47031,1.45201,1.10247,1.29456,0.00160099,0.00160099,0.00160099
10,711.256,1.50614,0.96685,1.28225,0.75096,0.70118,0.7485,0.42395,1.69226,1.20532,1.41518,0.00159274,0.00159274,0.00159274
11,782.168,1.5912,0.98154,1.32002,0.79443,0.75174,0.79899,0.48606,1.46813,0.96348,1.29765,0.00158448,0.00158448,0.00158448
12,853.096,1.49506,0.9416,1.25319,0.81936,0.77508,0.8281,0.5136,1.40589,0.87474,1.27364,0.00157623,0.00157623,0.00157623
13,924.237,1.47373,0.93261,1.27266,0.83231,0.74712,0.84039,0.53845,1.35598,0.89419,1.24186,0.00156798,0.00156798,0.00156798
14,995.438,1.46917,0.91157,1.25405,0.80574,0.80118,0.84561,0.53439,1.3577,0.86364,1.2674,0.00155973,0.00155973,0.00155973
15,1066.38,1.42903,0.8753,1.22784,0.80247,0.82504,0.85121,0.52686,1.38872,0.91323,1.26212,0.00155148,0.00155148,0.00155148
16,1137.3,1.45879,0.87535,1.22256,0.86122,0.81038,0.86854,0.53417,1.42119,0.78652,1.27707,0.00154323,0.00154323,0.00154323
17,1208.21,1.42822,0.86356,1.2461,0.84472,0.75547,0.83978,0.50816,1.47757,0.90812,1.29894,0.00153497,0.00153497,0.00153497
18,1279.1,1.42759,0.85002,1.21844,0.84206,0.7929,0.85259,0.51585,1.48091,0.85447,1.30508,0.00152672,0.00152672,0.00152672
19,1350.03,1.44738,0.8683,1.22891,0.83801,0.82326,0.8633,0.54594,1.36525,0.79955,1.24362,0.00151847,0.00151847,0.00151847
20,1421.19,1.41386,0.84499,1.23128,0.84279,0.8077,0.83976,0.53305,1.36746,0.7984,1.23771,0.00151022,0.00151022,0.00151022
21,1490.39,1.38623,0.86115,1.21701,0.85632,0.80015,0.86046,0.54702,1.35381,0.78766,1.23161,0.00150197,0.00150197,0.00150197
22,1561.67,1.42806,0.85278,1.20101,0.84873,0.82251,0.874,0.56006,1.32381,0.75949,1.22686,0.00149372,0.00149372,0.00149372
23,1632.88,1.34391,0.82568,1.20796,0.84807,0.81817,0.87128,0.56072,1.36049,0.76867,1.23529,0.00148546,0.00148546,0.00148546
24,1704.1,1.41088,0.83224,1.21807,0.81587,0.7663,0.82472,0.50481,1.42924,0.8575,1.27048,0.00147721,0.00147721,0.00147721
25,1775.05,1.44975,0.86114,1.23193,0.82801,0.8061,0.85665,0.53584,1.34294,0.8442,1.22549,0.00146896,0.00146896,0.00146896
26,1846.04,1.39019,0.83968,1.20957,0.84083,0.79485,0.85585,0.52312,1.43014,0.80713,1.27831,0.00146071,0.00146071,0.00146071
27,1916.97,1.3517,0.81483,1.19824,0.8442,0.81053,0.86192,0.54367,1.36461,0.79964,1.23985,0.00145246,0.00145246,0.00145246
28,1987.89,1.33935,0.77731,1.17466,0.8586,0.79882,0.86234,0.55141,1.32684,0.75427,1.22775,0.00144421,0.00144421,0.00144421
29,2058.87,1.38431,0.81193,1.20733,0.84777,0.78708,0.85246,0.54634,1.35708,0.80584,1.22575,0.00143595,0.00143595,0.00143595
30,2129.82,1.34441,0.79986,1.19185,0.87278,0.79502,0.86218,0.55851,1.34211,0.75473,1.2249,0.0014277,0.0014277,0.0014277
31,2200.77,1.39706,0.8114,1.21628,0.86201,0.80805,0.86126,0.55961,1.30624,0.75862,1.20015,0.00141945,0.00141945,0.00141945
32,2271.73,1.33949,0.80883,1.18931,0.84579,0.82609,0.86724,0.56775,1.29702,0.7695,1.21237,0.0014112,0.0014112,0.0014112
33,2343.01,1.34853,0.79114,1.17915,0.85513,0.81042,0.87222,0.5739,1.32539,0.7232,1.21839,0.00140295,0.00140295,0.00140295
34,2414.19,1.33317,0.76098,1.1893,0.84494,0.84669,0.87973,0.57968,1.32072,0.70405,1.23191,0.0013947,0.0013947,0.0013947
35,2485.42,1.30223,0.75393,1.17486,0.86814,0.81132,0.87785,0.58385,1.28383,0.70457,1.19574,0.00138644,0.00138644,0.00138644
36,2556.7,1.38175,0.80984,1.19364,0.85574,0.83217,0.87725,0.57656,1.34029,0.75966,1.22552,0.00137819,0.00137819,0.00137819
37,2627.68,1.32272,0.77612,1.18755,0.8669,0.80431,0.86299,0.56207,1.33474,0.76815,1.21513,0.00136994,0.00136994,0.00136994
38,2698.6,1.31308,0.75279,1.17407,0.88192,0.79881,0.87026,0.5697,1.32543,0.72022,1.21309,0.00136169,0.00136169,0.00136169
39,2769.6,1.36417,0.76681,1.18231,0.83966,0.83313,0.88004,0.57314,1.32876,0.74931,1.21288,0.00135344,0.00135344,0.00135344
