epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3558,1.9536,2.02243,1.52624,0.64401,0.58938,0.68835,0.39704,1.59681,2.27324,1.41728,0.000544553,0.000544553,0.000544553
2,114.8,1.70102,1.23736,1.30764,0.25601,0.55465,0.22093,0.12133,1.726,1.79814,1.45036,0.00109477,0.00109477,0.00109477
3,172.153,1.69856,1.30101,1.30901,0.6725,0.65528,0.66467,0.35713,1.77573,1.63606,1.46824,0.00163949,0.00163949,0.00163949
4,229.476,1.61718,1.14442,1.30138,0.41107,0.67171,0.45924,0.25263,1.52039,2.30057,1.33077,0.00164225,0.00164225,0.00164225
5,286.819,1.59862,1.08345,1.2782,0.58733,0.69524,0.57692,0.32115,1.55085,1.44096,1.33142,0.00163399,0.00163399,0.00163399
6,344.097,1.58318,1.0451,1.27867,0.442,0.77219,0.44572,0.23821,1.49189,1.38328,1.28123,0.00162574,0.00162574,0.00162574
7,401.475,1.5596,1.02839,1.24781,0.80034,0.726,0.77346,0.43798,1.50298,1.06122,1.26166,0.00161749,0.00161749,0.00161749
8,458.923,1.51209,1.00968,1.2396,0.80336,0.74854,0.8,0.48638,1.38576,0.95383,1.21176,0.00160924,0.00160924,0.00160924
9,516.499,1.51326,0.97026,1.22845,0.80775,0.75834,0.8126,0.48192,1.49932,1.04246,1.25891,0.00160099,0.00160099,0.00160099
10,573.777,1.46194,0.9205,1.205,0.84914,0.80956,0.85307,0.52114,1.36248,0.82522,1.20625,0.00159274,0.00159274,0.00159274
11,631.322,1.50152,0.9804,1.22759,0.80534,0.73545,0.80519,0.49859,1.35692,1.05303,1.18879,0.00158448,0.00158448,0.00158448
12,688.73,1.49358,0.94261,1.21846,0.78077,0.75043,0.80861,0.49097,1.38255,1.05623,1.21264,0.00157623,0.00157623,0.00157623
13,745.905,1.45637,0.93637,1.22889,0.85465,0.77649,0.8531,0.53224,1.35357,0.8324,1.19393,0.00156798,0.00156798,0.00156798
