epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4818,2.31556,3.44895,1.66388,0.07175,0.50277,0.15642,0.06972,1.90514,3.16583,1.2178,0.000544553,0.000544553,0.000544553
2,27.7547,1.99939,2.15238,1.32845,0.63911,0.591,0.57177,0.28829,1.72832,1.62701,1.26498,0.00109477,0.00109477,0.00109477
3,38.9002,1.90796,1.68327,1.30383,0.63302,0.5532,0.58429,0.29705,1.65785,1.76976,1.25931,0.00163949,0.00163949,0.00163949
4,50.1449,1.76939,1.48173,1.25796,0.63815,0.61355,0.64546,0.34849,1.54656,2.58628,1.25076,0.00164225,0.00164225,0.00164225
5,61.3985,1.69806,1.43643,1.23532,0.67855,0.60317,0.64381,0.36575,1.42904,1.76127,1.16684,0.00163399,0.00163399,0.00163399
6,72.7029,1.68098,1.35596,1.23084,0.73613,0.62711,0.68665,0.3928,1.42758,1.4032,1.16612,0.00162574,0.00162574,0.00162574
7,83.9933,1.66157,1.28839,1.20003,0.74517,0.68261,0.73099,0.4151,1.43629,1.17891,1.15367,0.00161749,0.00161749,0.00161749
8,95.1299,1.62495,1.2867,1.20436,0.73603,0.7227,0.79074,0.47219,1.35855,1.13812,1.12031,0.00160924,0.00160924,0.00160924
9,106.35,1.63261,1.24891,1.19031,0.7431,0.69014,0.76078,0.41574,1.52573,1.14606,1.17446,0.00160099,0.00160099,0.00160099
10,117.54,1.58709,1.23155,1.17363,0.74747,0.67033,0.74448,0.41678,1.45426,1.21269,1.16178,0.00159274,0.00159274,0.00159274
11,128.724,1.56455,1.20244,1.17377,0.8048,0.72397,0.78903,0.4664,1.37512,1.08012,1.11914,0.00158448,0.00158448,0.00158448
12,139.874,1.57383,1.17422,1.16963,0.79283,0.7096,0.79078,0.46624,1.33358,1.05506,1.11368,0.00157623,0.00157623,0.00157623
