epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3597,2.10097,2.33561,1.60714,0.62681,0.58029,0.61252,0.34058,1.56482,3.20316,1.32827,0.000544553,0.000544553,0.000544553
2,48.0882,1.71543,1.33022,1.28475,0.47508,0.57296,0.52067,0.27609,1.58346,1.69583,1.25556,0.00109477,0.00109477,0.00109477
3,71.779,1.68944,1.27628,1.26485,0.33984,0.31082,0.30706,0.14149,1.82387,1.70954,1.38046,0.00163949,0.00163949,0.00163949
4,95.1162,1.60412,1.2058,1.26013,0.74657,0.70869,0.75572,0.43258,1.42953,1.18183,1.22148,0.00164225,0.00164225,0.00164225
5,118.617,1.56577,1.12025,1.23533,0.74844,0.72441,0.75523,0.42742,1.40869,1.16396,1.18446,0.00163399,0.00163399,0.00163399
6,141.994,1.55598,1.0717,1.22073,0.78526,0.75159,0.80683,0.48029,1.38479,0.98079,1.16933,0.00162574,0.00162574,0.00162574
7,165.54,1.57049,1.04474,1.19818,0.83655,0.74948,0.82247,0.482,1.40672,0.99805,1.14949,0.00161749,0.00161749,0.00161749
8,189.023,1.54343,1.0355,1.21299,0.79579,0.7229,0.78514,0.45933,1.47452,0.9877,1.20473,0.00160924,0.00160924,0.00160924
9,212.457,1.53267,1.02394,1.19818,0.80108,0.73677,0.7999,0.47616,1.40579,0.99198,1.17392,0.00160099,0.00160099,0.00160099
10,236.164,1.48122,0.96902,1.17471,0.82507,0.74714,0.82191,0.5052,1.38328,0.91861,1.17048,0.00159274,0.00159274,0.00159274
11,259.571,1.50466,0.97512,1.18259,0.84765,0.77003,0.84321,0.53481,1.31522,0.85455,1.13217,0.00158448,0.00158448,0.00158448
12,282.889,1.46468,0.93388,1.16617,0.84089,0.78744,0.84776,0.53269,1.29414,0.86978,1.14513,0.00157623,0.00157623,0.00157623
13,306.057,1.47288,0.9349,1.18875,0.80478,0.80279,0.84594,0.51253,1.34565,0.89045,1.14286,0.00156798,0.00156798,0.00156798
14,329.357,1.48124,0.96984,1.18637,0.83532,0.77021,0.83339,0.49817,1.39055,0.90748,1.17042,0.00155973,0.00155973,0.00155973
15,352.596,1.45911,0.91911,1.16275,0.8276,0.80284,0.84939,0.53141,1.34071,0.84507,1.14043,0.00155148,0.00155148,0.00155148
16,375.854,1.47131,0.91828,1.16126,0.82814,0.79812,0.85563,0.53663,1.2899,0.85272,1.1159,0.00154323,0.00154323,0.00154323
17,399.166,1.40535,0.90349,1.15354,0.84475,0.77682,0.8489,0.54207,1.30685,0.83594,1.1279,0.00153497,0.00153497,0.00153497
18,422.474,1.40877,0.85803,1.14108,0.85053,0.7639,0.8393,0.52436,1.3558,0.868,1.1581,0.00152672,0.00152672,0.00152672
19,445.67,1.3966,0.8656,1.14004,0.87075,0.79416,0.85731,0.53485,1.35508,0.82277,1.13585,0.00151847,0.00151847,0.00151847
20,469.275,1.44271,0.8999,1.16522,0.84367,0.79429,0.86117,0.55116,1.3167,0.79796,1.12811,0.00151022,0.00151022,0.00151022
21,492.722,1.41417,0.89103,1.15421,0.85989,0.79965,0.8674,0.55409,1.29828,0.80912,1.11191,0.00150197,0.00150197,0.00150197
22,516.158,1.42896,0.87077,1.13678,0.8299,0.79302,0.84978,0.53844,1.33247,0.83314,1.12192,0.00149372,0.00149372,0.00149372
23,539.357,1.39855,0.86727,1.14708,0.85584,0.80807,0.86432,0.55107,1.26722,0.82357,1.11653,0.00148546,0.00148546,0.00148546
24,562.583,1.3599,0.82845,1.11092,0.85184,0.79903,0.86047,0.55254,1.29522,0.74912,1.11992,0.00147721,0.00147721,0.00147721
25,585.781,1.36719,0.81798,1.12358,0.83605,0.77214,0.84189,0.51143,1.42433,0.82856,1.16461,0.00146896,0.00146896,0.00146896
26,609.169,1.35088,0.81675,1.12067,0.85999,0.7998,0.86613,0.55582,1.29346,0.77419,1.12566,0.00146071,0.00146071,0.00146071
27,632.801,1.39499,0.82115,1.12772,0.85124,0.82186,0.87025,0.55592,1.28254,0.76864,1.1154,0.00145246,0.00145246,0.00145246
28,656.17,1.37454,0.82126,1.1168,0.85781,0.80638,0.86772,0.55597,1.34063,0.79178,1.13365,0.00144421,0.00144421,0.00144421
29,679.492,1.33926,0.80911,1.12615,0.84784,0.78899,0.85831,0.55855,1.30017,0.77774,1.11982,0.00143595,0.00143595,0.00143595
30,702.81,1.35242,0.7863,1.12045,0.84322,0.77134,0.84519,0.54267,1.28577,0.78422,1.12569,0.0014277,0.0014277,0.0014277
31,725.994,1.35774,0.80649,1.12257,0.8726,0.80204,0.86593,0.5529,1.33017,0.7582,1.12576,0.00141945,0.00141945,0.00141945
32,749.287,1.36445,0.81012,1.10746,0.85384,0.82029,0.87417,0.5622,1.28743,0.74915,1.09982,0.0014112,0.0014112,0.0014112
33,772.915,1.35047,0.79786,1.107,0.87143,0.81096,0.87003,0.56193,1.3059,0.7473,1.11881,0.00140295,0.00140295,0.00140295
34,796.097,1.32636,0.76964,1.11474,0.86751,0.82112,0.87621,0.5584,1.32075,0.76301,1.12737,0.0013947,0.0013947,0.0013947
35,819.301,1.33635,0.78406,1.1053,0.84776,0.82104,0.87175,0.55378,1.31767,0.74898,1.13027,0.00138644,0.00138644,0.00138644
36,842.486,1.34979,0.77669,1.10681,0.8581,0.81297,0.8709,0.55463,1.31716,0.75321,1.11296,0.00137819,0.00137819,0.00137819
37,865.69,1.30893,0.79035,1.09955,0.84311,0.7932,0.85738,0.54548,1.33227,0.7951,1.12453,0.00136994,0.00136994,0.00136994
38,888.965,1.34725,0.78109,1.10886,0.86589,0.80845,0.86975,0.55064,1.2789,0.7628,1.10244,0.00136169,0.00136169,0.00136169
39,912.244,1.30443,0.75911,1.08264,0.86867,0.79934,0.87384,0.56135,1.31696,0.76316,1.11461,0.00135344,0.00135344,0.00135344
40,935.621,1.32651,0.78166,1.10427,0.86136,0.82018,0.87568,0.5647,1.27283,0.74253,1.11006,0.00134519,0.00134519,0.00134519
41,959.178,1.35458,0.77171,1.1162,0.85906,0.80381,0.87606,0.56015,1.30469,0.73903,1.11458,0.00133693,0.00133693,0.00133693
42,982.525,1.30442,0.76557,1.08535,0.86452,0.79912,0.87468,0.55183,1.32444,0.78341,1.12089,0.00132868,0.00132868,0.00132868
43,1005.95,1.30764,0.75183,1.09019,0.86933,0.82482,0.87851,0.56286,1.30353,0.73044,1.1181,0.00132043,0.00132043,0.00132043
44,1029.19,1.31557,0.76887,1.11171,0.8346,0.8161,0.85746,0.53144,1.38799,0.76868,1.15065,0.00131218,0.00131218,0.00131218
45,1052.56,1.30566,0.75802,1.08359,0.85442,0.82709,0.87981,0.58058,1.22742,0.72825,1.09178,0.00130393,0.00130393,0.00130393
46,1076.05,1.29976,0.74441,1.08506,0.88321,0.80471,0.88062,0.56936,1.27411,0.72665,1.1094,0.00129568,0.00129568,0.00129568
47,1099.27,1.35962,0.77896,1.10804,0.85625,0.81994,0.87803,0.55869,1.35644,0.73779,1.13953,0.00128742,0.00128742,0.00128742
48,1122.45,1.32225,0.74792,1.10204,0.85002,0.8274,0.87919,0.57026,1.25146,0.711,1.09341,0.00127917,0.00127917,0.00127917
49,1145.65,1.28831,0.73984,1.09434,0.85635,0.81876,0.87489,0.57622,1.22602,0.69787,1.0897,0.00127092,0.00127092,0.00127092
50,1168.86,1.3257,0.75598,1.09983,0.83122,0.80081,0.85353,0.5351,1.3689,0.78093,1.14661,0.00126267,0.00126267,0.00126267
51,1192.16,1.28279,0.73542,1.07698,0.84668,0.83077,0.88032,0.56663,1.30147,0.71404,1.10951,0.00125442,0.00125442,0.00125442
52,1215.39,1.25658,0.71127,1.06866,0.86194,0.82264,0.87739,0.57556,1.28905,0.73032,1.09648,0.00124617,0.00124617,0.00124617
53,1238.55,1.26769,0.72669,1.088,0.86252,0.81332,0.87893,0.57438,1.25422,0.73864,1.08929,0.00123791,0.00123791,0.00123791
54,1261.74,1.28003,0.74206,1.08504,0.84973,0.82748,0.87237,0.57051,1.22775,0.69465,1.08538,0.00122966,0.00122966,0.00122966
55,1284.97,1.28049,0.73653,1.0858,0.85388,0.81508,0.87017,0.5596,1.29572,0.72429,1.11815,0.00122141,0.00122141,0.00122141
56,1308.19,1.27763,0.72933,1.06881,0.86514,0.8357,0.88587,0.58493,1.26752,0.70589,1.09734,0.00121316,0.00121316,0.00121316
