epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.304,1.87094,1.64361,1.55485,0.31498,0.44288,0.22924,0.11605,2.05549,6.01989,2.17784,0.000551962,0.000551962,0.000551962
2,357.736,1.79817,1.43423,1.48713,0.34719,0.48811,0.30427,0.16244,1.72739,1.60621,1.51475,0.00110215,0.00110215,0.00110215
3,535.983,1.83176,1.38333,1.48813,0.51765,0.61985,0.61223,0.31378,1.79052,1.71241,1.53117,0.00164683,0.00164683,0.00164683
4,714.184,1.7603,1.41229,1.47349,0.35276,0.5984,0.35839,0.17813,1.72479,2.2866,1.48146,0.00164225,0.00164225,0.00164225
5,891.714,1.77484,1.28536,1.46211,0.75709,0.6611,0.74706,0.42196,1.6049,1.10106,1.4468,0.00163399,0.00163399,0.00163399
6,1069.86,1.72062,1.20707,1.43048,0.79498,0.74572,0.78773,0.43959,1.64039,1.01198,1.44599,0.00162574,0.00162574,0.00162574
7,1248.02,1.68533,1.18993,1.40255,0.66075,0.75572,0.71968,0.40867,1.53912,1.27971,1.37956,0.00161749,0.00161749,0.00161749
8,1425.53,1.6721,1.13922,1.44503,0.81862,0.70488,0.78424,0.46657,1.57824,1.00747,1.41232,0.00160924,0.00160924,0.00160924
9,1603.67,1.6379,1.05764,1.36149,0.82072,0.72547,0.78637,0.45979,1.5301,1.00011,1.40661,0.00160099,0.00160099,0.00160099
10,1781.17,1.61823,1.05357,1.3936,0.82787,0.77723,0.82899,0.49285,1.49934,0.91564,1.3478,0.00159274,0.00159274,0.00159274
11,1959.24,1.60498,1.05375,1.38305,0.81688,0.77492,0.83445,0.49677,1.45703,0.94086,1.34206,0.00158448,0.00158448,0.00158448
12,2137.39,1.56499,0.98103,1.35851,0.81604,0.73898,0.80685,0.46273,1.64756,0.96186,1.41838,0.00157623,0.00157623,0.00157623
13,2314.77,1.57534,1.04196,1.38096,0.81276,0.70863,0.79671,0.46712,1.528,0.95354,1.36259,0.00156798,0.00156798,0.00156798
14,2492.2,1.57936,1.03676,1.36449,0.84374,0.7599,0.82635,0.50209,1.44488,0.90312,1.32075,0.00155973,0.00155973,0.00155973
15,2670.36,1.5434,0.99629,1.33392,0.80998,0.70473,0.7958,0.47677,1.48828,1.00245,1.35125,0.00155148,0.00155148,0.00155148
16,2847.82,1.569,0.98918,1.3581,0.81353,0.78887,0.83154,0.48978,1.48982,0.89822,1.35402,0.00154323,0.00154323,0.00154323
17,3025.32,1.52717,0.96392,1.34437,0.85813,0.79872,0.86087,0.52741,1.44609,0.83325,1.32075,0.00153497,0.00153497,0.00153497
18,3203.42,1.53706,0.94354,1.33651,0.83415,0.77819,0.83942,0.50422,1.48653,0.87456,1.33953,0.00152672,0.00152672,0.00152672
19,3380.85,1.45451,0.88485,1.28752,0.82085,0.75742,0.83812,0.50247,1.54126,0.91469,1.36701,0.00151847,0.00151847,0.00151847
20,3558.34,1.57152,0.91422,1.35331,0.82526,0.76504,0.8359,0.47426,1.65718,0.91133,1.41249,0.00151022,0.00151022,0.00151022
21,3735.85,1.49367,0.92121,1.31675,0.82662,0.76646,0.84562,0.51074,1.51374,0.86776,1.33857,0.00150197,0.00150197,0.00150197
22,3913.32,1.46602,0.87229,1.27897,0.84799,0.81437,0.87389,0.54864,1.40737,0.79668,1.2963,0.00149372,0.00149372,0.00149372
23,4091.34,1.44856,0.88495,1.3109,0.83787,0.79988,0.8508,0.5261,1.42497,0.81326,1.31063,0.00148546,0.00148546,0.00148546
24,4268.84,1.42747,0.86902,1.27425,0.85169,0.8215,0.87215,0.55552,1.37005,0.76278,1.28202,0.00147721,0.00147721,0.00147721
25,4447.02,1.4207,0.83789,1.27191,0.85127,0.79886,0.86124,0.54468,1.34866,0.78017,1.26916,0.00146896,0.00146896,0.00146896
26,4624.46,1.43239,0.86233,1.2894,0.86102,0.8101,0.87091,0.54924,1.39794,0.77939,1.28346,0.00146071,0.00146071,0.00146071
27,4801.91,1.46299,0.89769,1.28744,0.82222,0.78942,0.8491,0.53358,1.37807,0.79864,1.29272,0.00145246,0.00145246,0.00145246
28,4979.46,1.45139,0.87464,1.2669,0.8477,0.79063,0.86088,0.55413,1.3315,0.79772,1.27084,0.00144421,0.00144421,0.00144421
29,5156.91,1.44025,0.85221,1.30453,0.87256,0.79014,0.85975,0.54755,1.36214,0.76083,1.27352,0.00143595,0.00143595,0.00143595
30,5334.39,1.44261,0.85133,1.30835,0.87138,0.76322,0.85123,0.5463,1.3486,0.75376,1.27275,0.0014277,0.0014277,0.0014277
31,5511.89,1.44676,0.84782,1.27964,0.85141,0.81917,0.8695,0.55017,1.37677,0.74426,1.28433,0.00141945,0.00141945,0.00141945
32,5689.28,1.39304,0.80001,1.26532,0.84911,0.8173,0.86833,0.54605,1.38215,0.75212,1.27794,0.0014112,0.0014112,0.0014112
33,5866.7,1.41319,0.8212,1.2668,0.85135,0.78992,0.86178,0.54646,1.37334,0.77218,1.27814,0.00140295,0.00140295,0.00140295
34,6044.14,1.36462,0.79927,1.2373,0.85486,0.82625,0.87633,0.56549,1.31762,0.73407,1.24869,0.0013947,0.0013947,0.0013947
35,6222.32,1.35693,0.79137,1.23972,0.86338,0.79164,0.86328,0.55131,1.36343,0.77794,1.26422,0.00138644,0.00138644,0.00138644
36,6399.77,1.38667,0.81436,1.24819,0.86991,0.79563,0.86093,0.52559,1.49074,0.79152,1.32824,0.00137819,0.00137819,0.00137819
37,6577.19,1.38089,0.82401,1.25917,0.86652,0.81211,0.85986,0.55908,1.33345,0.72691,1.25603,0.00136994,0.00136994,0.00136994
38,6754.6,1.37131,0.80851,1.2589,0.85729,0.82315,0.87542,0.57888,1.30111,0.70655,1.24512,0.00136169,0.00136169,0.00136169
39,6933.25,1.34693,0.74633,1.20512,0.86574,0.78579,0.87271,0.55646,1.37256,0.72709,1.27105,0.00135344,0.00135344,0.00135344
40,7110.67,1.40389,0.80108,1.28959,0.8352,0.82072,0.8742,0.55995,1.32912,0.75602,1.25104,0.00134519,0.00134519,0.00134519
41,7288.03,1.39532,0.78751,1.25569,0.86015,0.78504,0.85972,0.54588,1.407,0.75901,1.28611,0.00133693,0.00133693,0.00133693
42,7465.37,1.38823,0.78163,1.2557,0.84835,0.81453,0.86977,0.55392,1.39462,0.77892,1.29149,0.00132868,0.00132868,0.00132868
43,7642.77,1.39696,0.80066,1.2619,0.8668,0.8158,0.87114,0.56273,1.34592,0.74863,1.26028,0.00132043,0.00132043,0.00132043
44,7820.17,1.32559,0.7691,1.22143,0.86887,0.83186,0.88347,0.57982,1.30669,0.74617,1.24409,0.00131218,0.00131218,0.00131218
45,7999.29,1.36181,0.79212,1.2377,0.85953,0.83046,0.87859,0.58137,1.29725,0.69768,1.24528,0.00130393,0.00130393,0.00130393
46,8177.93,1.3234,0.75042,1.21598,0.88266,0.8177,0.86878,0.56749,1.29536,0.70588,1.24527,0.00129568,0.00129568,0.00129568
47,8355.31,1.32808,0.7465,1.21552,0.8632,0.80601,0.86438,0.56527,1.34922,0.71776,1.26986,0.00128742,0.00128742,0.00128742
48,8532.61,1.32169,0.7348,1.21562,0.86679,0.80987,0.86739,0.545,1.42565,0.74912,1.29596,0.00127917,0.00127917,0.00127917
49,8710.94,1.38482,0.76897,1.25804,0.86991,0.81625,0.87232,0.56949,1.33497,0.71612,1.25656,0.00127092,0.00127092,0.00127092
50,8888.38,1.30778,0.72217,1.21872,0.87842,0.83111,0.88414,0.58085,1.28912,0.69025,1.23428,0.00126267,0.00126267,0.00126267
51,9065.72,1.32528,0.7346,1.21557,0.87836,0.81188,0.87566,0.57899,1.29431,0.69472,1.23934,0.00125442,0.00125442,0.00125442
52,9243.16,1.30878,0.72533,1.21733,0.88223,0.82355,0.88384,0.5849,1.28556,0.68174,1.24517,0.00124617,0.00124617,0.00124617
53,9424.27,1.28191,0.71108,1.2239,0.87421,0.84195,0.88815,0.57101,1.3736,0.71292,1.27637,0.00123791,0.00123791,0.00123791
54,9602.7,1.2903,0.72375,1.21806,0.86657,0.80535,0.87264,0.57421,1.33455,0.70551,1.25799,0.00122966,0.00122966,0.00122966
55,9780.27,1.33389,0.73234,1.21693,0.84778,0.83817,0.87364,0.55262,1.4028,0.73117,1.28883,0.00122141,0.00122141,0.00122141
56,9957.75,1.31751,0.72169,1.19634,0.87516,0.82824,0.87904,0.58058,1.32151,0.68091,1.2491,0.00121316,0.00121316,0.00121316
57,10135.3,1.33359,0.73313,1.23551,0.87527,0.81891,0.87469,0.57724,1.27949,0.66834,1.2376,0.00120491,0.00120491,0.00120491
58,10313.4,1.29863,0.70745,1.21168,0.87111,0.83726,0.87955,0.58617,1.29497,0.67542,1.23383,0.00119666,0.00119666,0.00119666
59,10497,1.27397,0.71206,1.20648,0.8746,0.84143,0.88809,0.60024,1.28236,0.67399,1.23146,0.0011884,0.0011884,0.0011884
